sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
62697,TW4B07700JV,32,32,0,28.49,,
62739,RODE59,0,0,0,459.60,,
62740,RODE60,0,0,0,561.60,,
62741,8M0107522,1,1,0,72.99,,
62744,11870-0005,0,0,0,1262.25,,
62754,11841-002,0,0,0,155.55,,
62755,15170-001,41,6,35,288.41,,
62756,11841-004,0,0,0,180.29,,
62757,15169-001,19,3,16,169.81,,
62758,15171-001,0,0,0,366.63,,
62783,P100735,8,4,4,92.81,,
62825,15270-001,1,0,1,365.56,,
62826,30343-001,0,0,0,133.01,,
62835,30340-001,0,0,0,256.63,,
62836,15271-001,0,0,0,484.75,,
62837,30342-001,0,0,0,363.70,,
62838,11841-101,4,0,4,105.28,,
62841,114127,10,4,6,90.88,,
62865,11841-102,2,0,2,118.00,,
62866,11841-103,0,0,0,131.43,,
62867,11841-104,0,0,0,143.44,,
62868,11841-105,0,0,0,152.63,,
62873,11841-001,3,0,3,142.14,,
62874,11841-003,0,0,0,168.28,,
62875,11841-005,0,0,0,189.48,,
62876,11941-001,0,0,0,174.64,,
62877,11941-002,0,0,0,185.24,,
62878,11941-003,3,0,3,192.30,,
62879,11941-004,0,0,0,199.36,,
62880,11941-005,0,0,0,206.43,,
62884,50480-001,0,0,0,70.29,,
62885,50480-021,0,0,0,80.94,,
62890,GX6000,38,19,19,400.56,,
